text,label
 জশ বাটলার এর সাথে বাংলাদেশ এর প্লেয়াররা যা করেছে সেটা নিয়ে সবাই কথা বলছে। কিন্তু প্লেয়ারদের এই রকম করার একটা কারন ও আছে যা অনেকেই জানেন না। বিটিভি অনেকেই দেখেন না। আমি আজ বিটিভি তে বাংলাদেশের ব্যাটিং দেখছিলাম। বিটিভিতে স্ট্যাম্প এর মাইক এর সাউন্ড অনেক বেশি থাকে যার কারনে উইকেট কিপারের অনেক কথাই স্পষ্ট শোনা যায়। প্রথম তামিম যখন ব্যাট করছিল এবং রান করতে পারছিলনা তখন বাটলার তামিম কে বলছিল ? পরে সাব্বির কে বলছিল ,1
 ইনশাআল্লাহ টেষ্টে ও আমরা জিতব ,1
 অার ভাল লোক পেলেন না সাকিব অাসলে নাম্বার ওয়ান বেয়াদপ এবং অহংকারী। ,0
 শিক্ষক পেশা হচ্ছে সর্ব শ্রেষ্ঠ পেশা ? ,1
 এখনতো মায়ানমারে মানবতা লঙ্গন হচ্ছে না কারণ মুসলিম মারা হচ্ছে আর কুকুর শিয়াল নপুংসক ভেড়ার পাল পশ্চিমা গোষ্ঠী ও তাদের মিত্রদের কাছে মুসলিম কোনো মানুষ না। এখন যদি মায়ানমারের রোহিঙ্গারা অস্ত্র তুলে নেয় তাহলে হিজড়া জাতিসংঘ ও তার শুভাকাঙ্ক্ষিরা বলবে এরা জঙ্গি কিন্তু সারা বিশ্বের সব মুসলিম মেরে ফেলা হলেও কাউকে জঙ্গি অপবাদ দেয়া হবেনা। ,0
 আমি সোহেল আমি নিজে জনের জায়গা দিমো ,1
 ইমেইল ঠিকানা নাই তো এতটুকু তথ্য দিতে কি এত কিছুই দরকার হয় আপনাদের আপনারা কি জানেন না ,0
 মুসলিম বলে? এটাই যদি হয় তাহলে ভারতের মুসলিমদের রাষ্টপতি মন্ত্রি প্রধান মন্ত্রি শাহারুখ সালমান আমির খান বানোও ঠিক হয় নাই ,0
 আল্লাাহ্ তায়ালার রাস্তায় পা বাড়াতে ঘুরে আসুন নামাজ বেহেস্তের চাবি পেইজ থেকে ,1
 মিয়ানমারের উপর কঠোর ভাবে আন্তজাতিক চাপ প্রয়োগ করা দরকার। ,1
 হা হা হা কি হাস্যকর ব্যাপার ওমানের লোকজন তারা নিজেরাই খানা পায়না আবার বাংলাদেশ থেকে কর্মী নিবে হাছিনার অবৈধ শাসনামলে প্রভাবশালী কোন দেশই বাংলাদেশ থেকে কোন লোক নিচ্ছে না এবং নিবে ও না বরং অবৈধ লোকদেরকে দেশে ফেরত পাঠাচ্ছে হাছিনা অবৈধভাবে খমতায় থাকার কারনে দেশের কর্মসংস্হান মানুষজন মানবতার জীবন যাপন করছে এটাই বাস্তবতা ,0
 আমার গর্ব আমার দেশ সেই আমার বাংলাদেশ ,1
 শেষ চার মাস ছিলেন মহা আনন্দে। রিয়াল মাদ্রিদের খেলা দেখা থেকে শুরু করে ঘোরা ঘুরি সব করেছেন চুটিয়ে। তবে শেষ এক সপ্তায় গেইল বিপিএলের জন্য পুরোদমে প্রস্তুতি শুরু করেন। আগামীকাল তার ঢাকায় পৌঁছানোর কথা। নভেম্বর মিরপুরে চিটাগাং ভাইকিংসের হয়ে মাঠে নামবেন। টি টোয়েন্টিকে হাতের মোয়া বানিয়ে ফেলা এই তারকা আগে বরিশাল বার্নার্স ও ঢাকা গ্ল্যাডিয়েটর্সের হয়ে খেলেছেন। এবার টি ম্যাচ পার হয়ে গেলেও গেইলের দেখা মেলেনি। চিটাগাং ভাইকিংস টুর্নামেন্টের শুরুতে খুব একটা ছন্দে ছিল না। চট্টগ্রাম পর্বের শেষ দিকে এসে মোট ,0
 সাকিব এর সাথে সেলফি তোলার চাইতে বনের পশুর সাথে সেলফি তোলা ভালো হবে কারন তার বেবহার ভালোনা ,0
আমাদের অনেক রকম নাম্বার ভিত্তিক অফার আছে যা থেকে ম্যাসেজ দিয়ে জানানো হয়।যারা ম্যাসেজে পাবে শুধু তারাই এই অফার টি নিতে পারবে। আপনি এরকম অফার পেলে ম্যাসেজটি দেখে নির্দেশনা ফলো করতে অনুরোধ করছি। ,1
 আঠারো বছরের আগে মেয়েদের বিয়ে নয়।আঠারোর পরে মেয়েদের বিয়ে হলে ভাল হয়। ,1
 ওমান প্রবাসীদের পক্ষ থেকে লাইভ দেখানোর জন্য ধন্যবাদ ,1
 সাকিব আজ তোমার ভালো খেলার খুব দরকার ছিল ঠিক সময় তুমি ভালো খেলেছ।ধন্যবাদ তোমাকে। ,1
 হায়রে মুসলমান বিশ্ব যখন এগিয়ে চলেছে ঝিমায় ঘুমে মুসলমান খুপরিতে বসে তসবি টিপে বাহিরে গর্জে বোম কামান । ইরাক গেল কাশ্মীর গেল ছাই হইলো অাফগান ফিলিস্তীনে জ্বলছে আগুন রক্তে ঝরে অারাকান । কই সালাদীন মুসা তারিক দেখ চেয়ে একটিবার জেরুসালেমের পবিত্রভূমি হয়ে গেছে ছারখার । ওরে মুসলিম তোর পায়ে ধরি হাতে নে ফের জুলফিকার হারানো সেই ঈমানী গৌরব কররে আজি পুনরুদ্ধার । আবদুল্লাহ আল হাসীব ,0
 দুনিয়ার জ্বলন্ত জাহান্নামের নাম এখন তুরস্ক।।তুরস্ক দোজখে পরিণত হয়েছে লাখ লাখ মানুষকে চাকুরিচ্যূত করা হচ্ছে জেলে পুরা হচ্ছে কারো কোন অধিকার নাই সেখানে।। ,0
 সালা বাঙ্গালী একদিন বুঝবি এক মাঘে তো আর শীত যায় না।এমন বিপদে একদিন পুরো বাঙ্গালী জাতিকে হয়তো তখন পাশের তোদের নানা দের দেশে যেতে চাইস নাা।সালা হারামি জাতির হারামি নেতারা।। ,0
 বিদেশে বাংলাদেশী পন্য রপ্তানী করে প্রচার করলে রপ্তানী আরও বাড়বে। এতেতো দেশেরই লাভ হবে। ,1
 কিরে মালাউনের বাচ্চা মালাউন গরুর মুত কি আজ কম খায়ছিস এই মালাউন শুনে যা বাংলাদেশের যে সম্মান আছে তোর দেশ বিশবার বিক্রী করলেও সেই সম্মান আনতে পারবীনা হালায় মালাউন গরুর বাচ্চা ,0
 সাকিব। ভাই। আপনা দের। খুব। সোদর। লাগছে ,1
 আরে ভাই ওমানে লেবার কার্ডে রিয়াল ভাড়ানো হয়ছে বাংলা হাজার টাকা কেনো মানুষ ওমান আসে???? এখানে কাজের অনেক অভাব না আসা অনেক ভালো ,0
 বাংলাদেশ সরকারের এই মুহুতে মানবিক বিবেচনা করে অস্থায়ী ভাবে আশ্রয় দেয়া প্রয়োজন। ,1
 চোরাকারবারি মাদক সম্রাট বোদির আগমন ঝাড়ু জুতা দিয়া জানাইও সবাই সাগতম। ,0
 সুন্দর ভিডিও আমাদের মাঝে তুলে দরার জন্য ধন্যবাদ ,1
 অদের খাবার আর সব কিছু দিয়া সাহায্য করা ,1
 মাশাআললাহ্ তুমি অবশ্যই একদিন সাকিব হবে দোয়া রহিল তোমার জন্য। ,1
 আমাদের উচিত তাদের আশ্রয় দেওয়া পাশের দেশ হিসবে এটা আমাদের ভারতের কাছে থেকে শেখা উচিত কারণ কারন পাশের দেশ হিসবে ভারতের সেই অসামান্য অবদানের কথা আমরা সবাই জানি ভারত উপকার যেমন আমরা ভুলিনাই ওরাও হয়তো আমাদের উপকার কখোনো ভুলবে না ,0
 সাকিব তুমি এগিয়ে জাও বাংলার ক্রিকেট ভকতরা আচে তোমার সাতে ,1
ইংল্যান্ডের সাথে টেস্ট ম্যাচ দাপটের সাথেই জিতেছে বাংলাদেশ ,1
 সাকিব ঠিক কাজই করছে । সেলফি তোলার নাম করে যদি চাকু বের করে খুন করে ফেলে তখন বাংলাদেশ টিম এর মারাত্নক ক্ষতি হবে। সাকিব বাংলাদেশের গর্ব আমি মনে করি ।সাকিব একটা ভাল পরিবারের ছেলে। সাকিবের মা একজন আদর্শ মা সাকিবের মা ব্যাট নিয়ে নামাজ আদায় করে সর্বক্ষণ ছেলের জন্য দোয়া করে। ,1
 যখন যুদ্ধ হয় তখন পাক বাহিনীরা হিন্দু নারীদের মাঠে ঘাটে স্কুল কলেজ মন্দির থেকে ধরে ধরে ধষর্ন করত। ,0
 টর্চ লাইট কোন কোম্পানির জানিনা তয় ব্যাটারি গুলো অলিম্পিক এর। ,0
 ভাই সাকিব আল হাসান কে ভুল বুঝবেন না ,0
 মামা তোমাদের জন্য একটা ভালো লাগার মতো পেজ আশা করি সব মামারা লাইক দিবা ,1
 অাইয়ুব খাঁন অামল থেকে সৌদিআরব লক্ষ রোহিঙ্গাকে বাংলাদেশ হইতে নিয়ে গিয়ে পালিতেছে। যখন রোহিঙ্গাদের সমাধান হবে তখন রোহিঙ্গাদের ফেরত হয়তো পাঠাবে। ,1
 তার জন্য আমার আনেক দোয়া রয়লে আল্লাহ তাকে জান্নতে দান করে।যে বাক্তি ক্রিকেট খোলে জীবন দিয়েছে। ,1
 হিংসা যার জীবন গড়া তাকে দিয়ে এইরকম কাজ করা শুভা পায়নি । ,0
 হে আল্লাহ আমাদের কে জিতিয়া দাউ ,1
 সমস্যা নাই এরা মুসলমান এরা হাতি না ,0
 আসলেই ভারতীওরা ব্যাপক বিনোদন দেয়। ,1
 কষ্ট হয় এদের নিয়ে ভেবে। প্রধানমন্ত্রী মিরাজকে ঘর বানায়ে দিতে পারে। কিন্তু এদের একটু ও সহযোগিতা করতে পারে না ,0
 জম্ন হোক যথা তথা করম হোক ভাল। ,1
 ওতো বিধর্মী মুসলমানের শত্রু সে নিরব থেকে মজা নিচ্ছে একটা হারামি শালা ,0
 কাংলাদেশি দের ভাব দেখে তো মনে হচ্ছে শালা প্যারিসে থাকিস। ছাপান্নহাজার বর্গমাইলের দেশ অার জনসংখ্যা কোটি। তোদের কুকুর বললে তো কুকুরকে অসম্মান করা হবে। অারে বেটা বসবাসের জন্য নাম্বার ওয়ান অযোগ্য শহর দুর্গন্ধময় তোদের ঢাকাতে অামি কয়েকবার গিয়েছি। বস্তি ছাড়া তো কিছুই নাই।মুতা ধরলে রাস্তার পাশেই বসে যাচ্ছে মানুষ। ডাস্টবিনের নোংরা গুলো রাস্তায় রাস্তায় পড়ে গন্ধ ছড়াচ্ছে।যতবার গিয়েছি তোদের ওই নোংরা ভাগাড়ে ততবার পেটে অসুখ নিয়ে বাড়ি ফিরেছি। । একটা কথা মনে রাখিস পার্শ্ববর্তী অন্যদেশগুলোর চাইতে ,0
 ধন্যবাদ তামিম ও সাববির কে সুন্দর খেলা উপহার দেবার জন্য সাবাশ বাংলাদেশ ,1
দুঃখিত এটি আমাদের কোনো রেগুলার অফার না। নির্দিষ্ট কিছু গ্রাহক এসএমএসের মাধ্যমে এমন কিছু অফার পেয়ে থাকেন। আপনি যদি এসএমএস পেয়ে থাকেন তাহলে সেই নির্দেশনা অনুসরণ করে অফারটি নিতে পারবেন। ,0
 দুঃখিত প্রবলেমটির জন্য। এই ব্যাপারে সঠিক ফিডব্যাক দেয়ার জন্য আপনার নাম্বার এবং কোয়েরি ডিটেলস আমাদের ইমেইল করার জন্য অনুরোধ করছি। আমাদের মেইলের ঠিকানা অথবা আপনি চাইলে আমাদের সাথে এর মাধ্যমেও যোগাযোগ করতে পারেন। করতে আমাদের ভিজিট করুন। ,0
 কি বলব সমস্যা আছে উভয় দিকে ,0
কিন্তু আপনি যে ভাষায় গালি দিয়েছেন তাতে আমি নিশ্চিত আপনি ছাত্রলীগের সদস্য। ,0
 তোমার মায়াবী কলিজার টুকরা কে আল্লাহ যেন কোরানে হাফেজা হিসাব কবুল করেন। ,1
 আপনারা জারা পরের ম্যাচে প্ল্যাকার্ড নিয়ে জাবেন তারা নামের প্ল্যাকার্ড নিয়ে জাবেন। বিসিবিকে বোঝাতে হবে নাসির কে। ,1
 চাকরির খবর বিভিন্ন পরিক্ষার সাজেশন এবং বিভিন্ন বিনোদন মূলোক তথ্য পেতে আমাদের এই পেজে লাইক দিন আপনার কাছে তথ্য পাঠানোর দায়িত্ব আমাদের। ধন্যবাদ সবাই লাইক দিবেন প্লিজ ,1
 হাসতে হাসতে বেহুশ হয়ে যাবেন রাজত্ব ,1
 দেখেই বুঝা যাচ্ছে এইবার আর সাস্থ্যর কোনো সমস্যা হবে না। ,0
 আসলে সুচির কিছুই করার নেই সুচি কোন রাষ্ট্র প্রধান নয় সে হল মায়নামার সেনাবাহিনীর বউ একটু উলটাপালটা বললে কালই তালাক দিয়ে জেলে পাঠিয়ে দিবে । ,0
 তুমি অনেক সুন্দর মাসআল্লাহ দীর্ঘজীবী হও ,1
 রোহিঙ্গারা আমাদের ভাইবোন ওরা জান বাচাতে আসতেছে একটু আশ্রয় চাচেছ সরকার ওদেরকে নিশ্চিত মিত্যুর মুখে ঠেলে দিয়ে অমানবিক আচরণ করতেছে আমরা তীব্র নিন্দা জানাই বাংলাদেশ সরকার এবং বিজিবির এই অমানবিক কর্মকান্ডকে ,0
 হযরত শাহ জালালের মাজারে জাবেন না গুরু গৌবিন্দের অনুসারির দের সাথে দেখা করবেন কারন শয়তান যদি বলে আমি হজ করব কেউ বিশ্বাস করবেনা। দয়া করে শাহ জালালের পুণ ভুমিকে অপবিএ করবেনা। ,0
 ভালো কিছু কমেন্ট না করে কিছু হেকার।।নিজেদের পেইজের নাম প্রচার করে।সালার বেয়াদবের জাত।এই রকম আরকি কেও মরে আর কেও হাসে ,0
 দিদি আপনি একদম ঠিক বলেছেন সারদা নারদা কালোবাজারী জালনোট কারবারি সন্ত্রাসবাদী তথা ভারতমাতার শত্রুদের নজরে মোদীজী একজন হিটলার। ,0
 সেখানে মানুষ ঘর ভাড়া ও দিতে পারিতেছেনা ,0
 মুখ তো নই যেনো যৌন কর্মীর যৌনাঙ্গ। ,0
 বাংলাদেশ দলকে ধন্যবাদ।বিশেষ করে সাকিব এবং মিরাজকে। ,1
 স্থান পরিবতন করা গেলে ভাল হয়। ,1
 আপু সব কিছুর আগে নামায নামায মতো পরো ,1
 ভালে তে তিন দিনে ভারত ,1
 আমাদের বিড়ি মিনিস্টারের সাথে ভালোই মিল আছে ,1
 সাকিব ভাই তোমাকে ও তোমার কিউট মেয়েটাকে অনক সুন্দর লাগছে। ,1
 দেখে ভালোই লাগলো চিড়িয়াখানায় গিয়ে গণ্ডার দেখা লাগবেনা??? ,0
 আসিফ তোমার মত ছাগল দুটা নাই। জ্ঞান তো নাই হুদাই চিল্লাও। বালের পোলাপার তোগোরে দেশ থেইকা লাত্থি মাইরা বের করে সিরিয়ার পাঠানো দরকার। খালি মালাউন মালাউন বলে চিল্লাস আর তো কিছু জানোস না। আগে পড়া লেখা কর। তোদের মত ছাগল পব্লিকের জন্য বাংলাদেশিদের কেউ দেখতে পারেনা। না জাইনা জ্ঞানিগুনি সাজস। নিজেকে বাংলাদেশি বলতেও লজ্জা লাগে তোদের মত অশিক্ষিতদের জন্য। ওরা দেখাচ্ছে যুক্তি আর তুই কিছুতো জানস না শুধু মালাউন মালাউন বলে চিল্লাস। ,0
 টেন্ডার বাজি জারা করে তারা এভাবেই মরে বিগত দিনের ইতিহাস তাই বলে। ,0
 তোমার আমি খুব ভালো বাসি তিমি ,1
 আজ আমরা জিতবো বস এবংসাকিব ভাই ,1
 অবাক হয়েছি ওদের সাধারন জনগন বোদ্ধরাও হত্যাকান্ডে সরাসরি জড়িত। তাই বোঝাযায় সব বৌদ্ধরাই এমন হিংস্র। বাংলাদেশে থাকা বৌদ্ধের বাচ্চারাও হয়তো মনে মনে খুব খুশি। আর ওরা সংখ্যাগুরু হলে বাংলাদেশেও এমন নির্মম হত্যাকান্ড চালাতো হয়তো স্বপ্নও দেখতেছে তাই এখনি এই বৌদ্ধের বাচ্চা হিংস্র কুত্তাগুলাকে ঘাড় ধরে বাংলাদেশ থেকে বের করে দেয়া উচিৎ। ,0
 এরদোয়া বিশ্বের নাম্বার ওয়ান প্রেসিডেন্ট।মায়ানমারে এতো কিছু হচ্ছে তার কোন প্রতিবাদ নেই।টু শব্দ নাই।এখন আছে তুরস্ক নিয়ে। ,0
 তোদের তো জাহান্নামেও জায়গা হবেনা ,0
 দীর্ঘ সাড়ে তিন বৎসর কারাভোগের পর অবশেষে জামিনে মুক্তি মিললো ,0
 সাকিব ভাই নিজের ব্যাটিং এর দিকে একটু নজর দেন। ,1
 সকল মুসলিম তাদের কে সাহায্য করা উচিত ,1
 তোর মুখে আমি থুথু ফেলি ,0
 কাজের ক্ষেত্র হিসেবে বাংলাদেশই বেটার ,1
 সাকিব ভাই বাংলাদেশের প্রাণ এবং আজ যে খেলাটা হল সেটা পুরো বাংলাদেশ দুক্ষ পেল। ,1
 মাদার চোদকে আজীবন নিষিদ্ধ করা হোক জেনেউন ক্রিকেট খেলে কখনো জিততে পারবেনা ,0
 যত মিথ্যা খবর গুলো পোষ্ট করে। ,0
 চোরের সাজা ছিল হাত কাটা ,0
 পাকি মরলে কেন জানি ভালো লাগে ,1
 এখানে ছেলে ও মেয়ে দুইজনের নষ্টামির কথা বলা আছে। জীবনকে সুন্দর ভাবে সাজাতে হলে আল্লাহকে ভয় করুন ও পাঁচ ওয়াক্ত নামাজ পড়ুন।দেখবেন সকল খারাপ কাজ থেকে দুরে থাকবেন। ,1
 ধরে পেদানি না দিয়ে উদ্বেগ প্রকাশ ,0
 আজকে দিন ধরে ফ্লেক্সিপ্লানে গিফ্টিং করা যাচ্ছে না। ,0
 এই নিষ্ঠুরতা মেনে নেওয়া যায় না ,0
 ভাল ছেলেদের শুধু পুলিশের পদে চাকরি দেন। সবায় কে ঠিক করে ফেলবে। ,1
 বাংলাদেশ টিমের ভাল চেহেরা ওয়ালা প্লেয়ার খেলতে আসার মাস পরেই বড় বড় মডেল দের মতো হয়ে যায়। আমরা কখনো আল আমিনের কথা মনেও করে না। অথচ তাসকিন কোনদিন ই আল আমিনের মতো ভাল বোলার ছিলো না। শুধু তাসকিনের চেহেরার জোড়ে সবার মন জয় করে নিলো। সবাই তাসকিনকে নিয়ে সেই হারে লাফায়। খেলার মাঠে তাসকিন থেকে আল আমিন শফিউলরা অনেক গুণে ভাল। চেহেরা বডি ফিগার ভাল থাকবে রাষ্ট্রীয় নায়ক হয়ে যাবে এটা ক্রিকেটীয় ব্যাকরণের বাহিরে ,0
 সময়ের কন্ঠস্বর এর এডমিনের উচিত কাঁঠাল পাতা খাওয়া কারন সে একটা ছা গ ল। ,0
 না পারলে আর কি করবে আউট হলে আউট দেবে না আউট না করতে পারলে বলে চুইন গাম লাগায় দেবে মানে যেখানে যেমন পারে আসলে ওরা সব রাম বজ্জাত আস্তো শয়তান ,0
 আমাদের সুপার সাকিব ভাইয়া।আপনি বলেই এই সব সম্ভব জান ভাইয়া ,1
নেতা তুমাকে আজ বড় প্রয়োজন। ,1
 অবৈধ সব পারে তার ইজ্জত যাওয়ার ভয় নাই ,0
 বাংলাদেশ কীভাবে মায়ানমারকে তলব করে? বাংলাদেশের সাথে মায়ানমারের কোন সমস্যা নাই তো। এটা সঠিক সিন্ধান্ত নয় ,0
 পৃথিবীর এক অন্যতম শ্রেষ্ঠ ইসলামিক পেইজ। যারা কুরআন ও হাদিসের কথা পড়তে ভালোবাসেন তারা পেইজটিতে লাইক দিন। ইনশাআল্লাহ আপনার কাছে ভালো লাগবে। কুরআন ও হাদিসের কথা কুরআন ও হাদিসের কথা ,1
 আল্লাহ আপনি বিশ্বের সকল মুসলিমদের হেফাজত করুন। ,1
 সুন্দর একটি সামাজিক পেজ । লাইক দিয়ে পাশে থাকুন । গল্প ও ইতিহাস ,1
পরিচয়সুখ্যাতী বহন করে মানুষ তার নিজ কর্ম দ্বারা।যে ভাল গুন ফিদেলের খুব ভাল ভাবেই ছিল। ,1
 আমরাই পৃথীবির একমাত্র নিরলয্য ফ্যান জাদের এত কষ্ট দেন তার পরেও আবার আপনাদের সাপার্ট করে ,1
 বাংলাদেশ হলে হাসিনা একবার হ্যাঁ বললে সেটা করেই ছাড়তো। রামপাল তার বড় উদাহরন।। ,1
 নামবে কি ভাবে ওতো হাঠতেই পারেনা ,0
 বিবিসিকে স্যালুট। আর নেতাকে অশেষ ধন্যবাদ। ,1
এমন করে এগিয়ে যাও বাংলাদেশ। ,1
 মেডাম এই দেশে ইসি কুত্তা আপনি ভোট চাইয়া লাব নাই কারন পাস করলেও দিবে না ,0
 মানুষ হয়ে জন্ম নিলি মানুষ হতে পারলি না হয়ে গেলি অমানুষ ,0
 তোমাদের হাসি দেখে আমারও হাসি পাচ্ছে । সুখে থাক । ,1
 কিছু পাগল আছে শীতকালে উজায় এটাকে পাবনায় চালান দেয়া হউক ,0
 অাসসালামু অালাইকুম জীবনে অনেক পেইজে লাইক দিয়েছেন আজকে এই পেইজে একটা লাইক দেন প্লিজ আল্লাহ আমার রব আল্লাহ আমার রব আল্লাহ আমার রব আল্লাহ আমার রব আল্লাহ আমার রব আল্লাহ আমার রব আল্লাহ আমার রব আল্লাহ আমার রব হে আল্লাহ আপনি সবাইকে হেদায়েত দান করুন আমিন ,1
 সিমা ছাড়িয়ে যাচ্ছে আল্লাহ ধরা শুরু করলে একটা বুদ্ধ কুত্তাও রেহাই পাবেনা ,0
 খুব ভাল মাশাল্লাহ এই ভাবেই চাই ,1
 সাব্বির তোমার সামনে আবারো নায়ক হওয়ার হাতছানী এর আগেও কয়েকটা ম্যাচে হয়েছো কিন্ত সেগুলো ছিলো ওডিআই বা টি টোয়েন্টি যেগুলোতে এখন আমরা আল্লাহর রহমতে প্রায়ই জিতি কিন্ত টেস্ট জয় আমাদের কাছে সোনার হরিণ খুব বেশি কিছুুনা নিজের কাছে স্ট্রাইক রাখার চেষ্টা করো এবং তোমার যে শক্তির দিক সেই কব্জীর জোরে টা বল বাউন্ডারীতে আছড়ে ফেলো দেখবে তুমিই নায়ক হবে ইনশাআল্লাহ আজ কোটি বাঙ্গালীর দোয়া এবং চোখ তোমার তাইজুল এবং শফিউলের দিকে শুধু মন দিয়ে চেষ্টা করো ইনশাআল্লাহ সফলতা আসবে ,1
 আমি মনেকরি রহিংগাদেরকে বাংলাদেশে আশ্রয় দেওয়া উচিৎ এবং বাংলাদেশে যত বৌদ্ব আছে তাদের গরবাড়ি জালিয়ে দেওয়াদরকার এতেকরে তাঁরা র্বামাতে পালাতে শুরুকরবে। ,1
 পাছার উপর কিছু বেতের বাড়ি দিলে আরো ভালো হতো। ,0
 এসব পালতু ভুয়া নিউজ প্রচারের জন্য তোদের মত সাংবাদিক কলামিষ্ট গুলারে পাবলিক মিলে গনধোলাই দেওয়া উচিত সরকারের পা চাটাঁ ,0
 আপনার কথা খুব ভালো লাগে ,1
 সৌম্যর এমন ভরাডুবি দেখবো ভাবিনি সৌম্যর জন্য প্রার্থনা করা উচিত ,1
 তবে বাংলাদেশে বৌদ্ধরা এখনো অক্ষত আছে তাদের উপাসনালয়গুলিও তেমনি অক্ষত আছে তার মানে আমরা সাম্প্রদায়িক সম্প্রীতিতে আমাদের বিশ্বাস এখনো অটুট রেখেছি। কিন্তু দুঃখের বিষয় এদেশের বৌদ্ধরা সে সম্মানটুকুর মর্যাদা রেখে মিয়ানমারের মুসলিম হত্যা এবং মসজিদ ধ্বংসের প্রতিবাদে এখনো সামিল হচ্ছেনা। ,0
 রোহিঙ্গারা যখন মুসলিম হয়ার কারণে হত্যা শিকার হচ্ছে তখন আমাদের দেশে বৌদ্ধরা পরম শান্তিতে বসবাস করিতে ছে ,1
 সমঝোতা হয়েছে খুব ভালো কথা। এক হয়ে কাজ করেন। তার সুফল পাবেন। এখন হারানো না হারানো কোন বিষয় না। জয় লাভ করার জন যা করার দরকার তাই করেন। জয় লাভের আশায় থাকলাম। ,0
 সত্যি আমার গ্রামীণ সিমটি আমার অনেক উপকার করছে।ধন্যবাদ গ্রামীণ ,1
 এটা চট্রগ্রামের কোন লোকের কাজ মাজার খোলার উদদেশ্যে এটা করেচে। কিনতু নাটোরের মানুষকে বোকা বানাতে পারেনি। আপসোস থেকে গেল। ,0
 যারা রহিঙ্গাদের সাময়ীক অশ্রয়ের বিরোধীতা করিস তারা শুধু এটুকুই মনে রাখিস যে ওরাও মানুষ ছিল। নেক্সট মানবাতার কথা বললে স্রেফ জুতা খাবি ,0
 খানকির সাওয়াল ওরে পিরায়ইয়া মারে না কেন ,0
রোহিঙ্গা মুসলমানদের দুর্ভোগের অন্ত নেই।জলে কুমির ডাংগায় বাঘ।আজকে দুটি ঘটনা আমাকে ভীষণ ব্যতিত করেছে।নিরবে কিছুক্ষন অশ্রু বিসর্জন দিয়ে মনটাকে হাল্কা করার ব্যর্থ প্রয়াস চালিয়েছি। ,0
 ভারত সারা জীবন গরুর মুত।তাতে কি আর শক্তি হয়।এই কারনে এই অবস্তা মালুর বাচ্চাদের। ,0
 ওর চেহারাটা ঠিখ যেন শুকরের বাচ্চার মতো। ,0
 অনেক অনেক শুভকামনা রইলো । ,1
 উননতি কি তোদের গুহার ভিতর হচেচ শালার কুলংগারের দল। ,0
 তথ্য মথে কৃষ্ণের স্ত্রী ছিলো। মাউলানীর যৌবনে কাহ্নের মন। বিধুমুখে বোলেঁ কাহ্নাঞিঁ মধুর বচন সম্বন্ধ না মানে কাহ্নাঞিঁ মোকে বোলেঁ শালী। লজ্জা দৃষ্টি হরিল ভাগিনা বনমালী দেহ বৈরি হৈল মোকে এরুপ যৌবন। কাহ্ন লজ্জা হরিল দেখিআঁ মোর তন শ্রীকৃষ্ণ কীর্ত্তনের দানখন্ডঃ রামগিরীরাগঃ পৃষ্ঠাঃ শব্দার্থঃ মাউলানী মামী কাহ্নের কৃষ্ণের বোলেঁ বলে হরিল হারাল বনমালী কৃষ্ণ মোকে আমাকে দেখিআঁ দেখে তন স্তন। যিনি যৌতুক হিসেবে হাজার দাসী নিয়েছিলেন তিনি কৈলাসের দেবদাস ওরফে চন্দ্রশেখর ও ,0
 জীবনে একটা ভাল কথা বলেছেন যা যুক্তি সংগত তাই আপনাকে ধন্যবাদ ,1
 তাদের আশ্রয় দেয়া যায় না ,0
 আমারা গভীর ভাবে শোকাহত । ,1
 বল বিকৃতি করছে এ আর কি আরো ভাই ও তো নিজেই এক জন বিকৃত মনের মানুষ ,0
